canonical_name,appid
无敌吸附战神,4828620
28天半衰期,4733330
猎国沉默专属,4937570
像素三国-僵尸地牢,4888520
方格们的战争：终极版,4431180
Sector IV: LockDown（四号区：封锁）,4330520
戴影弹弓,4958760
Wartorn 危城抉择：乌克兰战争视觉小说,4932480
细胞幸存者,4868910
科提玛洛,4710550
轨道斩,1715930
中国式新人,4526510
纵横秘湾 Corsair Cove,1368140
水上乐园模拟器,3293260
乐动求生：幸存者,4316340
捉鸡,4951350
德尼之塔,4759180
净化战线（异净特遣队）,3956700
深渊兽潮,4331130
纸牌游戏,4951050
通梦板,3867250
汪汪队立大功：恐龙世界,3525790
漫研社顾问想要支持佐伯沙罗,4295960
电子木鱼,4790970
赛菲莉娅,2436940
我的英雄旅团,3928980
Find Cats 8 奇幻植物王国,4878830
水灵逃生,4880470
侠落：百花杀尽,2774390
月之冕,4405880
幻想之旅,3459880
无限秘仪,4754330
snt计划,4667860
卡牌家园,4358460
车辙制造者,3751820
落境：未知记忆,4840890
绿石守卫者,2704450
海绵逃生,2657560
乾坤搜神记,4875810
造天行动 Skyformer,2305210
绿植小筑,3558600
The Organ Woman | 臓器女,4746060
九山：狼之城,1714510
猫之手是救援之手,4040170
血痕困斗,4571080
机械狂欢,4108000
多少兄弟？,3934270
贪婪轮盘,4529660
悠游时光,4313730
亥伯制造Hyperstacks,1046760
三钟之牌,3619000
思维密码,3733860
水浒历险Online：重生,4808310
海王模拟器,4320160
封神演义之黄飞虎归周,3908250
一百单九将,3914030
星星骰,4018280
莉莉幻想曲,2527300
宅男VR: 仰卧起坐与吻,4357410
齿轮冲突：英雄集结,4925040
BLUE REFLECTION Quartet: 少女们的奇迹,3825390
雾影猎人,3282300
账单必须支付 Bills Must Be Paid,4421010
英雄连3：最终防线Company of Heroes 3: Final Stand,4836540
Tank Tower Defense 坦克塔防,4847750
网球王子 心跳求生 Tie break ♡ game,3907380
网球王子 学园祭的王子们 ♡-40 and more...,3907350
执政官之魂,4252700
别管这些塔！,4420690
比特尔特岛：与她们共度的日常,4304520
归拾 (PhiloDeka),3248110
美味回转寿司店模拟器,3938640
极简回路,4643910
星之旅Lunarium,2939790
最后的飞船,3920780
普通话智多星,3846300
地球Online,4605460
长官，兽人大军冲上来了,4594150
Lian：久远岛童谣连环杀人备忘录,4729160
电商大亨,4249850
诡宅祭坛,4754090
舰魂重构,3780790
神券救我命,4154440
主公請躺好,4639770
"鼠吃跑 Hamster, Eat, Run",4259520
噩梦医院,4613900
维京杂货铺,4644050
黄昏远征军,2479090
佐拉塔的覆灭,4915810
科斯达丽佳的世末终之旅途,3910590
旧日铁锅炖主理人,3330210
无尽废墟 Infinite Ruins,4317900
斗地主,4903450
未寄,4830090
水滴打砖块,4467920
巫师指南,4030760
小小鸟托邦,3839360
极乐妹土！2,4838450
因习村2200,3941930
西瓜游戏 Planet,4650440
西瓜游戏,4572790
星辉与神灯,4481470
末世信使,4827940
钢之誓言,4808530
五年B班事件簿,4278010
星宇战舰 Astral-Battlecraft,3848460
机场安检模拟器,3894850
天平游戏1:抉择,4699920
歧路：零,4150340
夏至未来,4911200
保卫粮食 Grain Defense,3924920
愿,4390940
篮球点点点,4686000
芒狗,4045180
YuanQi : 元氣,4802410
升级试炼,4851180
桌面伴侣时光旅人,4587290
一起来开大商场,4668890
些许人亡,4124920
两面爱,4763020
重生之我在冰堡甜城当店长,3683770
宗门最后的长老,4898630
深巷,4181410
命运&通胀 -Fate&Inflation-,3706550
绝色侦探:爱丽丝,4800860
黑山羊BlackGoat,3685370
魔界洞露露·法蕾亚 新星,4353640
灰域之境,3384360
我的美味丈夫 My Tasty Husband,4214320
侠影录,3863760
神陨：余烬,4810250
玛门的灵魂推币机,4528300
消逝殆烬,4736640
战意：三国,4651220
1.80战神微变,4714000
This Station (本站): The Escape,4293330
棋谋,2672840
星际突袭者,4641740
像素汪历险记,4451830
云霄一刻 (High Times),2251220
这龙带刀,3440070
渡渡鸭与折叠世界,3358170
太空狗斗：无限,4880060
硬币酒馆,4358310
久梦初醒,4904420
魔王的后宫~异世界温柔乡~,4629490
梦境物语,3761760
活死鸡之夜,4804650
被黑手浸染的玫瑰与百合,4370020
月色涌起,4580720
偷偷摸摸修个仙,4866160
雪落情书时,4740420
战争回响,2778530
玄中记,4571290
天临混元,2765320
龙之剑:觉醒,4570720
凯普勒 186F,4263880
悠哉捕鱼,4051900
怪奇漫游指南 Wonderia,2593340
风暴怕死队,3561220
十个好人Ten innocent people,4797730
乾坤玺•明,4876710
夜魇突袭:血牌风暴,4771890
红眼露比,1845250
铁门之下,4924130
梅莫莉：治愈物语,4337440
鸟吃虫子,4612530
摸金牌,4528320
愚灵,2191280
地狱之魂,4642650
神曲战姬：零域和鸣,4211810
异能追忆,3837350
噩梦边境,3310950
午夜轮班,3722330
小本生意,4324480
超级变色龙,4864560
混沌岛,4341590
竞速驾驶,4468640
命运之手：人各有命,3075410
稗子 The Dream Of A Cockspur,1699710
涂画捉迷藏,4897530
近拱点: 引力弹弓,4520400
地府有点忙,3116700
DJ Life Simulator：学习真正的DJ技巧,3994790
神威之境：第八位神,4779000
巨像：蚀世之灾,1722800
锻造少女,4790650
贝斯方块,4514640
神屠蓝银,2988490
红鹿旅馆,1553260
破坏，然后升级,3795990
生死深潜：雨之子民,3590290
Pit Panic: 地心逃亡,2491490
深夜照相馆,4286120
单词牌,4571100
一个关于变大的游戏,4695530
断曲余音,2467880
城堡旁刷新出大量野怪,4914550
无尽扫雷模拟器,4905950
龙与自然,2812920
河狸吗,4478730
巨獸與傭兵,4821360
喵喵角斗士,3347200
黑客视窗 95,4669350
九天,4117890
零度空间 ZeroSpace,1605850
猫之岛,4018550
RentPoly 租金大富翁,4236430
增量无限,4210010
酒与剑之歌,2994200
喵出法随,4252290
崛起之刃,4347620
变异群落的崛起,4230080
挖个蛋,4869070
东方号星舰,2447090
魔堡幸存者,4829710
失落权柄,3825860
你画你猜,4812940
马拉松The Messenger from Athens at Marathon,4812220
抗倭前线,4256560
火柴人的日常,4861510
BraveYard 勇者之墓,2788540
水果贪食蛇,4689160
仙门守护者,4868150
世界树牧场：精灵传承,3586450
三国：谋定天下,4542640
猫咪攀爬,2965020
穿雾列车 Fogpiercer,3219010
南云的大脑,4808890
末日货轮：Doomsday Cargo Ship,4169410
收纳师,4526770
银行人生,3393240
桌面探索者,2527160
放置点击器,4293750
福报镖局,4227420
摸猫猫,4605210
桌面爬宠,4699700
厕所大作战,4757580
平行农场,4517520
主神的游戏,3565290
人生之旅,4697460
幸运者困境,3863850
东方神域传 ~在游戏里展示威严~,3406890
霓虹协议：夜穹,4847520
玛奥与堕落之街,4050550
德州扑克,4834490
兵王,4291090
至高传奇,4899040
凉茶王,3703200
君临传奇之风起云涌,4773930
循环迷宫：维拉的大冒险,3606400
永恒与星辰与日常,4169820
连连帝国,4406610
萌军VS酥军,4571480
球打球(Ball2 Battle),3875230
千里山河录,4358380
饺子与店主,4066190
月光对话,4455780
Silan: 魔物娘大师!,4293110
宇宙丰收：无限成长,4779010
挖到地心！,4157430
韩流偶像故事: 出道之路,1662160
佩图尼亚的炼狱,4009450
数字魅影: 极限竞赛,2507980
7月15日雨夜：前传,4504050
赌命无常：出千为王,3756340
亮可敏与花束,4822660
猫咪小街物语,4083580
桌足也疯狂,3621200
这个商城不太对劲,3417410
不/存在的莉莉丝,4643090
Moss：遗落圣物,3914860
霜轨：Frostrain 2,3690490
采矿工厂小队- Ore Factory Squad ⛏️,4210580
鸟语森林,3661430
字里行间,4772250
致病本源,3808690
妄生,3452670
地狱公主 Hell Maiden,3372060
马特·琼斯：骑迹,2926900
套圈之王,4891410
星球田园诗,2252680
富豪榜：清算所,4875060
地牢杀手,2712460
我靠挂机撩女神,4782480
MV幻想冒险,4831880
亰都幻都 -樱花幻舞-,4449410
道途百劫,4810840
巴掌大的农场,4593070
喵喵工坊,2481810
春秋异闻录,3201830
四维直觉,3635130
镜湖之中,4613170
斗笠江湖,4654940
列乌尼斯的挽歌 Requiem of Reuinis,3371260
世界尽头的奥刻阿尼得斯 —— 虚海的大母神 ——,4644150
仰望晴空的剂量,4547770
渔猫,4876770
百变提托 (Teeto),2783370
70年代风格机器人动画 杰比-X,4120310
电车炫客,2524850
虚拟主播恰米游戏,4694140
自助餐惊魂,4902300
雨后书签,4901480
主角,4234260
爆射的哈基米,4060660
新盗墓笔记（官方正版）,4676570
背包地牢,4478640
致经济下行的我们,4591610
攻击就能加攻击,4707970
端水大师,3583940
洪荒进化 Hong Huang Evolution,4280780
斗将,4793740
幸存者：未知村落(Survivor: Unknown Village),4307630
难蚌尖塔,4430470
懒惰军团养成记,3853410
闲暇岛时光,4209160
幻域 Fantasy Domain,4579210
灵伴世界,3152750
工业小镇2：天堂岛,3312130
明鉴侦探事务所,4481850
加利宅邸悬案,3641000
关守神,4323800
绯色侍女 The Crimson Maid,2695260
极度攀爬,3858830
谁与争锋 Warena,4331100
隐名三国,4549610
乔伊的梦魇 II,4558880
肉鸽领地：守卫方格,4645200
三国志BOND,4375230
夜七梦,4825080
黎明探险队,3946120
修仙挂机,4727230
剑与精灵,4412820
矿工幸存者,4897540
爆连方块,3908810
北亨特 (North Hunt),3642850
挂机足球,4582080
轮盘地牢,3399930
麻将：卡五星,4566560
死亡矩阵房间,4830350
帝国的夙愿,2219390
画你的时光,4831620
零秒：时光的归途,2697940
铸魂迷途,3839250
701病房,4723460
寻咪,4830500
猫咪列车长,4141710
九州仙侠录,4837990
海铃镇今天的饭 Seabell Supper,4435470
天堂岛,4069000
阿特斯英雄记,4485620
回声链接：递归,4474430
村庄幸存者,4834200
归刃,4451820
魔法少女甜心3D Magical Girl Sweetheart 3D,4886100
人生记事簿：Life Memoirs,4798150
砍价模拟器,4376780
咸鱼搬运工,4740600
乱情小妹,3606380
异世界X异世界（Isekai x Isekai）,4542860
诛心手术,2943310
掷杯筊,4563040
挂机猫猫传,3520820
圣旨模拟器：一统天下,4314010
街机女孩不会认输!!,4798610
幻想世界,4212170
齿轮与湮灭（Gears of Annihilation）,4734110
超级至尊男孩,4585490
魔法少女甜心 Magical Girl Sweetheart,4886040
EULA ~2026 人类创造报告~,4517370
16叠谋杀之谜,4655470
少女大战地精,4752780
双生火：第五轮回,4089760
森林逃生：末班列车 (Forest Escape: Last Train),4090360
如梦金色雪,3863840
绿意,4853620
或许是个卡牌游戏？,4787110
武林绝学之功夫传奇,4781400
啪嗒喵,4851630
十米爆爽超变,4740460
终有一日愿遂思恋 ～来自迷途之家的信笺～,4042330
我是妖王：阻止孙悟空,4785810
心舞,4560290
无法触及,4541960
小史莱姆与皇冠,4781620
间隙世界事件,4676980
艾恩葛朗特 回荡新声,2244210
柯基生存者,4483200
邪祟,4373160
电梯: 无间,4790520
玄戒修仙路：桃花天命,4809670
猫咪邮政,4380490
刺客信条：黑旗 记忆重置,3751950
记忆收藏家 · The Memory Mender,4856460
披萨哎哟！,3620130
蛆,4692030
仙途放置：无尽天梯和完美装备,4829980
银白钢铁X 1+2 双重收藏辑,4282450
五行幻境：荒渡,4659040
夜袭者,4804250
真理谭：黑暗城堡的女巫,4508570
该死的谐音梗,4781720
水管公司,3863770
虚无之塔,4798820
谎言之牢,3041280
剩余价值模拟器,4773850
差值风暴,4868140
3D剧本杀 焦黑的你,3821830
蘑菇农场,4817530
得儿猫（Stinky cat）,4279050
致命勇士,4848340
几何防线,4417490
造化仙缘,2377930
宝石我来捡，你只管揍人: Blood & Blessing,4794570
书呆子的复仇,4373150
鸡群战场,4841480
十三张: 死斗&肉鸽,4853960
星际深钻,3722660
勇之证,4808750
三国演义：汉朝再兴之梦,2757260
龙沉异世录,3257760
五行策(WuXing Card),4365090
文物修复师,4840120
简易日式麻将,4824410
动次打次,4819850
文明乱斗,4839300
亡灵崛起,4855580
小小修仙者 Little Immortal Cultivator,3871550
UNDERGROUNDED -怀旧地下城-,3076910
三国志经典,4818580
方块之地,4490290
梦壳,3835680
不死精灵,4578750
来高州识荔枝,4843190
逆性莫比乌斯,4591540
麻吉骑士 Magic Knights,4607920
再战大极品+255,4714810
我的刀盾,3044160
星辰大学：兽心相伴,4508100
边缘城市,4760710
攻占敌营,4818410
奇迹勇者：魔兽防线,4720010
杀毒少女,4156370
史莱姆农场,4499040
挤猫猫,3739300
双面魔君心上仙,4786350
超级免疫,3455320
万世剑冢,4490130
SCP：苍白织者（SCP: Pale Weaver）,4411090
润之,4683470
石碑,4692720
哈坦加计划_1989_增量版,4766590
比比丟八 BIBI DICE,4792230
纸面大作战,4842420
回到明朝升升官,4128450
孤岛的动物园,4618830
星途,4824940
Free Loop Tower Defense 人生是旷野塔防 FLTD,4808760
天狗花牌,4501120
赛博修仙符,4664650
江湖奇侠录,4803630
修仙：灵山秘境,4790340
回放,4560490
地牢炸弾人,4207690
双核同步,4536280
逐末之地：60s Exploring the Endless Land：60s,4380690
弹珠地牢,4814890
放置地牢-AutoDungeon,2434370
放置:纸色新境,4270610
墨影突围：无尽生存,4818310
拉比的村子,3902210
方寸甜序,4667670
东方防卫传 ～ AI Test in Touhou ～,4738660
决战勋章：超级自走棋爆兵战,4568990
星辉契约:幻灵庭院,4835790
贝如塔按摩店模拟器 Beta Massage Parlor Simulator,4105080
大荒消劫录,4385590
意识传送侦探,3756080
这张不算 This One Doesn't Count,4602730
牛仔镇杂货铺 | Wild West Supermarket Simulator,3690760
恋因天赐!! Present From Angel,4567710
角落之人,4437550
3D拼图：破碎之心,4775980
弹幕病的特效药,4328580
无限进化塔防,4288940
牧羊人 Shepherd,4557270
失格the lost,4825870
悠闲采矿,4283650
出门打酱油,4800540
爪爪改造家2 PawRebuild 2,4825980
占山为王,3524440
以富之名(In The Name Of Fortune),4201600
染上你的颜色,4831190
吞食三国,3872760
魔族公主打搜撤,4593710
伏煞3 夜诊,4735070
恋狱～月狂病～,4290390
苏打队长,2845990
KIYO：暴兔之城,2466790
旷野怪兽,4733510
出马Spirit Rider,4821680
核纪元,4049910
你的可爱老婆,3413000
摸鱼悟道,4791840
摸鱼游戏合集,4708470
崩坏之兆：饥荒,1466520
盛夏离与合,3987560
爆盛食堂,4007040
伊利斯之梦Ellixir's Dream,3558120
你的蛋蛋,4665490
简单的小游戏,4294100
极线赛车,4550820
鹰道：末日崛起,4328290
地狱森林,4420570
四方行,4710460
功德无量,4526410
飞刀大师,4667580
宠我一生：桌面宠物,4298720
他们匆忙离开：一款隐藏物品游戏,4417080
枭雄,4358420
最后敕令,4372750
我的璀璨男友,4654620
胡闹赶鸭,4181370
Blosharper：百花之战,4718270
千职域界,4340250
视差：闭眼过,4800460
莱尔兰德,3884970
键来,4500770
三国义,4771880
男孩与鹿,1803140
厨房清洁大师,3688130
宿直日誌 Night Duty Log：A Showa School Record,4549590
猫呜地理,4102350
桌宠奶茶店：放置大亨,4790620
恶魇,4822500
阿弥陀佛,4373100
下潜：深海回声,4598940
陨落者要塞,4358240
孟德尔模拟器,4787730
东北往事,4056810
机动战线,4639370
木偶之匣,4240260
释厄传,3929330
矿业帝国,4674550
黑帆王座·Galactic Loadout,4555720
你妈真漂亮,2743810
挂机破坏神 IdleWrecker,4411600
家喵二三事 Vol. 2,4598080
暗黑修仙塔防,3843620
破幕荧光,2840000
圣火守望者：共筑防线,4227400
娱游暇日,4752860
疯狂轮盘,2789810
黑暗卷轴,2912550
森灵旅社,3759220
梦想翻新家,2742710
异星战场,4770850
拉面模拟器,3574020
闲鱼修仙录,4624530
中生代黎明,4334840
射吧！水果人,4453470
幼兽帕帕,3147560
正体 SHOUT-AI,4797550
海边宝藏小铺,3939700
公司崛起,4637330
与夏日姐姐们的甜蜜时光,4353630
无限面包,4724900
星之牧歌,3975500
哈里斯大道上的善举,4738170
感谢你的投递,2881370
"樱花，萌放。-as the Night's, Reincarnation-",2899760
山上那个猴儿,4625760
狂战之旅,4766950
镜中的光怪陆离,4737940
LenscraftCube 相机方块,3856340
禁忌长生：低语修真,4252910
鲸鸟,4770560
魔法法杖物语,4696180
